,STNAME,CTYNAME,TOT_POP,TOT_MALE,TOT_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,TOT_NHWA,TOT_NHBA,TOT_NHIA,TOT_NHAA,TOT_NHNA,TOT_NHTOM,TOT_HWA,TOT_HBA,TOT_HIA,TOT_HAA,TOT_HNA,TOT_HTOM
10773,North Carolina,Hyde,5798,3253,2545,1852,1593,1107,712,18,4,8,10,0,1,30,35,211,178,9,6,12,5,2,0,0,0,4,1,3445,1819,22,18,1,65,389,15,17,2,0,5
11001,North Carolina,Iredell,161037,79141,81896,61568,63297,8874,10084,188,236,1675,1699,29,15,1091,1144,4972,4687,292,317,220,197,40,32,29,20,163,168,124865,18958,424,3374,44,2235,9659,609,417,72,49,331
11229,North Carolina,Jacks,40240,19928,20312,16015,16677,392,325,1786,1861,178,189,9,5,343,360,945,693,19,16,181,142,9,9,2,0,49,35,32692,717,3647,367,14,703,1638,35,323,18,2,84
11457,North Carolina,Johns,172446,84648,87798,58500,61913,12259,13564,349,342,417,561,27,16,1141,1173,10411,8880,590,567,441,374,88,74,70,44,355,290,120413,25823,691,978,43,2314,19291,1157,815,162,114,645
11685,North Carolina,Jones,10060,4859,5201,3057,3123,1438,1766,30,29,11,24,0,2,82,76,200,160,18,6,16,5,0,0,0,1,7,9,6180,3204,59,35,2,158,360,24,21,0,1,16
11913,North Carolina,Lee,58531,28613,29918,16799,17888,5428,6083,141,126,182,312,13,6,374,447,5008,4445,231,215,239,206,45,36,24,28,129,126,34687,11511,267,494,19,821,9453,446,445,81,52,255
12141,North Carolina,Lenoir,59411,28322,31089,14630,15737,10993,12948,74,104,135,179,16,17,289,309,1830,1470,160,183,114,73,13,18,40,30,28,21,30367,23941,178,314,33,598,3300,343,187,31,70,49
12369,North Carolina,Lincol,78297,38763,39534,33108,34098,2089,2144,111,112,168,253,4,11,445,444,2627,2299,103,73,43,39,13,10,7,17,45,34,67206,4233,223,421,15,889,4926,176,82,23,24,79
12597,North Carolina,McDowell,45053,22509,22544,19699,20255,981,691,65,70,168,187,0,0,222,253,1137,900,76,51,93,87,35,18,14,8,19,24,39954,1672,135,355,0,475,2037,127,180,53,22,43
12825,North Carolina,Mac,33887,16453,17434,14672,15952,247,171,69,79,100,106,2,2,139,142,1100,908,42,26,52,20,8,7,7,2,15,19,30624,418,148,206,4,281,2008,68,72,15,9,34
13053,North Carolina,Madis,20845,10309,10536,9739,10034,181,79,29,24,17,55,3,5,114,128,206,193,3,6,6,6,2,1,0,0,9,5,19773,260,53,72,8,242,399,9,12,3,0,14
13281,North Carolina,Marti,24186,11263,12923,5971,6631,4650,5757,29,42,43,49,2,3,114,111,370,255,40,47,19,16,3,1,18,9,4,2,12602,10407,71,92,5,225,625,87,35,4,27,6
13509,North Carolina,Mecklenburg,943823,455318,488505,231395,242522,131414,157779,1475,1513,23100,22646,229,267,7777,8589,49727,45499,5369,5356,2346,1890,507,444,319,249,1660,1751,473917,289193,2988,45746,496,16366,95226,10725,4236,951,568,3411
